---config@初始化排序数值=10000
---config@码表分类=主码-用户码表
---config@码表别名=扩展码表
期期艾艾	aaaa
一字千金	gptq
一定程度	gpty
一官半职	gpub
一家人	gpww
事实证明	gpyj
平安夜	gpyw
现实主义	gpyy
殉节	gqab
死期	gqad
殉葬	gqag
殡葬	gqag
死区	gqaq
残荷	gqaw
熬药	gqax
列阵	gqbl
死了	gqbn
死劲	gqca
烈马	gqcn
殉难	gqcw
死磕	gqdf
残存	gqdh
残破	gqdh
死在	gqdh
死耗	gqdi
死面	gqdm
死灰	gqdo
五角大楼	gqds
形象大使	gqdw
死胎	gqec
熬过	gqfp
平铺直叙	gqfw
死刑	gqga
裂开	gqga
熬到	gqgc
不多不少	gqgi
死理	gqgj
殊死	gqgq
一钱不值	gqgw
一针一线	gqgx
死战	gqhk
一饱眼福	gqhp
死盯	gqhs
丈	gqi
死法	gqif
熬汤	gqin
烈酒	gqis
现金流	gqiy
残照	gqjv
不错啊	gqkb
死忠	gqkh
死别	gqkl
死罪	gqld
殉国	gqlg
死力	gqlt
劢	gqlt
烈风	gqmq
赘肉	gqmw
残屑	gqni
死尸	gqnn
残局	gqnn
烈性	gqnt
更名改姓	gqnv
匹	gqnv
天外飞仙	gqnw
殆尽	gqny
死定	gqpg
死牢	gqpr
兀然	gqqd
死钱	gqqg
死锁	gqqi
爽	gqqw
尥	gqqy
死掉	gqrh
残缺	gqrm
更多的	gqrq
死的	gqrq
死棋	gqsa
死相	gqsh
残根	gqsv
死敌	gqtd
歹徒	gqtf
死生	gqtg
残生	gqtg
列入	gqty
不久前	gque
残部	gquk
一锅端	gqum
残次	gquq
殉道	gqut
兀立	gquu
一触即溃	gqvi
一钱如命	gqvw
列传	gqwf
不留余地	gqwf
死命	gqwg
死保	gqwk
死伤	gqwt
更多信息	gqwt
列位	gqwu
死人	gqww
形象代言人	gqww
正儿八经	gqwx
熬粥	gqxo
残弱	gqxu
列维	gqxw
五色缤纷	gqxx
一争高下	gqyg
列为	gqyl
青岛市	gqym
死讯	gqyn
赘言	gqyy
一抔黄土	graf
珠子	grbb
一掷百万	grdd
正反面	grdm
瑰奇	grds
一拥而入	grdt
玉皇大帝	grdu
百	grf
天摇地动	grff
天打雷劈	grfn
素质教育	grfy
珠玑	grgm
歪打正着	grgu
珠玉	grgy
碧玉	grgy
珠江	gria
一把汗	grif
碧清	grig
碧叶	grkf
珠峰	grmt
瑰异	grna
不近情理	grng
珠翠	grny
瑰宝	grpg
两手空空	grpp
一手包办	grql
珠饰	grqn
一年多	grqq
一把把	grrc
一排排	grrd
一年后	grrg
一年的	grrq
一批批	grrx
环氧树脂	grse
珠箔	grti
一年前	grue
两年前	grue
正气凛然	gruq
瑰伟	grwf
一年级	grxe
末世	gsan
不可或缺	gsar
末子	gsbb
不可限量	gsbj
一木难支	gscf
不可辱	gsdf
不可胜数	gseo
不要用	gset
不要脸	gsew
不可胜计	gsey
不要去	gsfc
天覆地载	gsff
不可动摇	gsfr
不可不	gsgi
玎玲	gsgw
一丁点	gshk
不可小觑	gsih
玉树临风	gsjm
平板电视	gsjp
来样加工	gsla
静极思动	gslf
平板车	gslg
平顶山	gsmm
两相情愿	gsnd
一相情愿	gsnd
不可数	gsov
不要钱	gsqg
一枝独秀	gsqt
不可饶恕	gsqv
末后	gsrg
不可捉摸	gsrr
严格控制	gsrr
严格执行	gsrt
一棵棵	gssj
一根根	gssv
不可知	gstd
责权利	gstj
不可向迩	gstq
末笔	gstt
末伏	gswd
还本付息	gswt
末位	gswu
瓦格纳	gsxm
不可磨灭	gsyg
不可言喻	gsyk
不可言传	gsyw
理想主义	gsyy
麦芽	gtaa
不辞劳苦	gtaa
敖德萨	gtab
麦茬	gtad
麦草	gtaj
麦蒂	gtau
麦芒	gtay
一鼻子灰	gtbd
开科取士	gtbf
一笑了之	gtbp
一物降一物	gtbt
亚利桑那	gtcv
下自成蹊	gtdk
焉知非福	gtdp
麦克	gtdq
一般而论	gtdy
残冬腊月	gtee
到处都是	gtfj
天长地久	gtfq
不知去向	gtft
一身二任	gtfw
一生一世	gtga
严惩不怠	gtgc
不知天高地厚	gtgd
正处于	gtgf
不知死活	gtgi
不得不发	gtgn
一毛不拔	gtgr
一系列的	gtgr
天生丽质	gtgr
不长一智	gtgt
不徐不疾	gtgu
天各一方	gtgy
平衡点	gthk
不知深浅	gtii
还我河山	gtim
麦酒	gtis
一身是胆	gtje
一条路	gtkh
天香国色	gtlq
不知轻重	gtlt
碧血丹心	gtmn
麦迪	gtmp
麦粒	gtou
麦粉	gtow
麦糠	gtoy
一得之功	gtpa
一箭之遥	gtpe
敷衍塞责	gtpg
一得之愚	gtpj
再造之恩	gtpl
一得之见	gtpm
不务空名	gtpq
现行犯	gtqt
死乞白赖	gtrg
五千年	gtrh
不知所以	gtrn
一笔抹煞	gtrq
一盘棋	gtsa
麦杆	gtsf
夹竹桃	gtsi
更重要	gtsv
王先生	gttg
一片片	gtth
麦秋	gtto
一笑千金	gttq
一条条	gtts
不怎么样	gtts
下笔千言	gtty
亚特兰大	gtud
天知道	gtut
不得善终	gtux
下笔如有神	gtvp
与生俱来	gtwg
更适合	gtwg
更待何时	gtwj
再生父母	gtwx
玫红	gtxa
天鹅绒	gtxa
现身说法	gtyi
不知就里	gtyj
一番话	gtyt
天秤座	gtyw
一站式	guaa
夹菜	guae
不辨菽麦	guag
平卧	guah
平昔	guaj
平阳	gubj
一将难求	gucf
平辈	gudj
一问三不知	gudt
平服	gueb
平月	guee
一决胜负	gueq
平动	gufc
天差地远	guff
夹雪	gufv
不辨真伪	gufw
一病不起	gugf
平正	gugh
琼浆玉液	gugi
夹带	gugk
一着不慎	gugn
平列	gugq
一前一后	gugr
一瘸一拐	gugr
不冷不热	gugr
不问青红皂白	gugr
不疾不徐	gugt
不痛不痒	gugu
至善至美	gugu
夹上	guhh
平江	guia
平湖	guid
平光	guiq
平津	guiv
夹紧	gujc
平明	guje
平量	gujg
至关紧要	gujs
平顺	gukd
平路	gukh
平畴	guld
平车	gulg
武装力量	gulj
天姿国色	gulq
平邮	gumb
颊骨	gume
平米	guoy
王羲之	gupp
玩意儿	guqt
五斗折腰	gure
下半年	gurh
开门揖盗	guru
一头热	gurv
夹挤	gury
平顶	gusd
夹棍	gusj
一首歌	gusk
夹板	gusr
事关重大	gutd
平盘	gute
平行	gutf
平利	gutj
平复	gutj
正准备	gutl
平躺	gutm
平移	gutq
平稳	gutq
残羹剩饭	gutq
夹入	guty
平靖	guug
残羹冷炙	guuq
一次次	guuq
不关痛痒	guuu
平凉	guuy
平媒	guva
整章建制	guvr
平仓	guwb
平伸	guwj
事关全局	guwn
两部分	guwv
残疾人	guww
夹住	guwy
夹缝	guxt
平度	guya
不差毫厘	guyd
平底	guyq
束装就道	guyu
不好惹	gvad
瓦努阿图	gvbl
一好百好	gvdv
不好用	gvet
更好地	gvfb
惠灵顿	gvgb
再好不过	gvgf
一忍再忍	gvgv
不即不离	gvgy
妻小	gvih
吞刀吐火	gvko
刺刀见红	gvmx
妻室	gvpg
瑙鲁	gvqg
更好的	gvrq
静如处女	gvtv
天灵盖	gvug
妻妾	gvuv
妻弟	gvux
妻孥	gvvc
妻舅	gvvl
妻女	gvvv
一九八四	gvwl
一群人	gvww
现如今	gvwy
不忍卒读	gvyy
不信邪	gwah
一个劲	gwca
更仆难数	gwco
珍存	gwdh
不登大雅之堂	gwdi
天命有归	gwdj
珍禽奇兽	gwdu
两个月	gwee
副作用	gwet
一传十	gwfg
五代十国	gwfl
整个过程	gwft
天公地道	gwfu
不值一驳	gwgc
珍玩	gwgf
不但不	gwgi
玳瑁	gwgj
一件事	gwgk
瑜珈	gwgl
不分青红皂白	gwgr
五谷不分	gwgw
玲玲	gwgw
不仁不义	gwgy
不值一文	gwgy
整体上市	gwhy
现代派	gwir
武侠小说	gwiy
一段时间	gwju
不会吧	gwkc
一命呜呼	gwkk
不分轩轾	gwll
一代风流	gwmi
不食周粟	gwms
王八蛋	gwnh
天人之际	gwpb
一人之下	gwpg
天作之合	gwpw
现代社会	gwpw
两分钟	gwqk
五分钟	gwqk
珍馐	gwqn
亚伯拉罕	gwrp
不停的	gwrq
琴剑飘零	gwsf
珍版	gwth
不分彼此	gwth
一人得道	gwtu
正合我意	gwtu
珍闻	gwub
责任状	gwud
王侯将相	gwus
再作冯妇	gwuv
正人君子	gwvb
一代代	gwwa
一个个	gwwh
不食人间烟火	gwwo
一件件	gwwr
静候佳音	gwwu
一代人	gwww
两个人	gwww
整个人	gwww
现代人	gwww
责任人	gwww
一体化	gwwx
责任编辑	gwxl
两个方面	gwyd
不保证	gwyg
不作为	gwyl
五保户	gwyn
现代主义	gwyy
毒菌	gxal
互敬	gxaq
素鸡	gxcq
素愿	gxdr
互帮	gxdt
素服	gxeb
互爱	gxep
毒腺	gxer
互用	gxet
毒霸	gxfa
素志	gxfn
互教	gxft
一统天下	gxgg
互不	gxgi
毒刺	gxgm
毒死	gxgq
一张一弛	gxgx
素油	gxim
毒酒	gxis
互连	gxlp
青纱帐	gxmh
互赠	gxmu
素心	gxny
残编断简	gxot
毒案	gxpv
一纸空文	gxpy
素色	gxqc
毒针	gxqf
毒饵	gxqn
互斥	gxry
一级棒	gxsd
互生	gxtg
素称	gxtq
毒箭	gxtu
毒瘾	gxub
素闻	gxub
素装	gxuf
素问	gxuk
素净	gxuq
互道	gxut
素妆	gxuv
互递	gxux
素女	gxvv
互借	gxwa
互保	gxwk
严丝合缝	gxwx
互信	gxwy
素纱	gxxi
一缕缕	gxxo
毒谋	gxya
互译	gxyc
毒计	gxyf
互评	gxyg
互设	gxym
夷族	gxyt
互认	gxyw
互谅	gxyy
开放式	gyaa
不谋其政	gyag
一言蔽之	gyap
玉坠	gybw
斑蝥	gycb
斑驳	gycq
两方面	gydm
正言厉色	gydq
一语破的	gydr
一望而知	gydt
开诚布公	gydw
一语成谶	gydy
政府采购	gyem
斑块	gyfn
玉霜	gyfs
班规	gyfw
一府两院	gygb
天底下	gygh
互为表里	gygj
玉带	gygk
璇玑	gygm
一文不名	gygq
不识一丁	gygs
一言一行	gygt
刑讯逼供	gygw
一文不值	gygw
不为瓦全	gygw
琉璃	gygy
不言不语	gygy
班上	gyhh
玉溪	gyie
豆腐渣	gyis
班里	gyjf
来这里	gyjf
不论是	gyjg
琼中	gykh
班别	gykl
速记员	gykm
一语中的	gykr
互为因果	gylj
理论界	gylw
玉雕	gymf
班风	gymq
琼剧	gynd
玉璧	gynk
速度快	gynn
一言以蔽之	gynp
天文数字	gyop
理论家	gype
政府官员	gypk
一夜之间	gypu
玉容	gypw
玉色	gyqc
天高气爽	gyrd
玉皇	gyrg
不变的	gyrq
更高的	gyrq
玉手	gyrt
玉指	gyrx
恶语相加	gysl
琼楼	gyso
玉林	gyss
玉盘	gyte
不记得	gytj
班务	gytl
斑秃	gytm
一诺千金	gytq
一试身手	gytr
班委	gytv
玉兰	gyuf
玉帝	gyup
玉颜	gyut
政府部门	gyuu
斑疹	gyuw
一言半语	gyuy
一言既出	gyvb
不识好歹	gyvg
一言九鼎	gyvh
班会	gywf
不良贷款	gywf
恶语伤人	gyww
玉佛	gywx
班级	gyxe
班费	gyxj
斑纹	gyxy
五言诗	gyyf
班主	gyyg
紫荆花	haaw
虎子	habb
虎劲	haca
虚骄	hact
瞒骗	hacy
虚套	hadd
虚耗	hadi
虎须	haed
虎豹	haee
虚肿	haek
虎贲	hafa
瞒过	hafp
虐政	hagh
虎落平川	hagk
虎皮	hahc
矇眬	hahd
虚渺	haih
眼药水	haii
虚誉	haiw
虚晃	haji
瞒哄	haka
虎口	hakk
龇牙咧嘴	hakk
彪悍	hanj
虚惊	hany
彪炳	haog
虚火	haoo
虚字	hapb
虚空	hapw
虎钳	haqa
虚饰	haqn
虐杀	haqs
虎狼	haqt
虚掩	hard
虐打	hars
虚掷	haru
虎势	harv
虏掠	hary
虚辞	hatd
皮划艇	hate
卡斯特罗	hatl
瞄向	hatm
瞒着	haud
彪壮	hauf
虚症	haug
虎门	hauy
虚灵	havo
虎仔	hawb
虚位	hawu
虎纹	haxy
止戈为武	hayg
虚衰	hayk
虚高	haym
虐恋	hayo
虚诞	hayt
瞎了眼	hbhv
皮耶罗	hblq
卡巴斯基	hcaa
皮鞭	hcaf
皮黄	hcam
颇能	hcce
颇感	hcdg
颇受	hcep
皮脂	hcex
皮下	hcgh
非驴非马	hchc
点对点	hchk
皮具	hchw
眼观四路	hclk
皮帽	hcmh
皮屑	hcni
皮炎	hcoo
皮实	hcpu
皮椅	hcsd
皮相	hcsh
皮筋	hcte
皮重	hctg
卡通片	hcth
颇得	hctj
皮筏	hctw
眼观六路	hcuk
皮袋	hcwa
皮件	hcwr
颇费	hcxj
皮纸	hcxq
皮张	hcxt
颇让	hcyh
颇高	hcym
卡耐基	hdad
上辈子	hdbb
卓而不群	hdgv
睡大觉	hdip
皮脂腺	heer
肯干	hefg
肯于	hegf
瞬即	hevc
肯綮	heyn
肯塔基	hfad
歧出	hfbm
目击耳闻	hfbu
此地无银三百两	hffg
战无不胜	hfge
卡夫卡	hfhh
目无法纪	hfix
歧见	hfmq
歧异	hfna
卡塔尔	hfqi
虚无飘渺	hfsi
歧意	hfuj
目无余子	hfwb
目无全牛	hfwr
歧化	hfwx
点击率	hfyx
虚无主义	hfyy
上不了	hgbn
上下左右	hgdd
凸面	hgdm
上一页	hgdm
上不去	hgfc
瞧不起	hgfh
凸起	hgfh
上下一心	hggn
止于至善	hggu
盱眙	hghc
肯不肯	hghe
此一时	hgjf
目不暇给	hgjx
凸凹	hgmm
眼不见	hgmq
皮开肉绽	hgmx
悲天悯人	hgnw
卢瑟福	hgpy
凸角	hgqe
凸镜	hgqu
版	hgtc
凸版	hgth
片	hgtn
旧事重提	hgtr
睡不着	hgud
战天斗地	hguf
上一次	hguq
目不忍睹	hgvh
止不住	hgwy
皮下组织	hgxx
上班族	hgyt
卡式	hhaa
上期	hhad
上菜	hhae
瞋目切齿	hhah
上世	hhan
上翘	hhat
上攻	hhat
上苍	hhaw
上药	hhax
卡子	hhbb
上也	hhbn
上了	hhbn
上院	hhbp
上联	hhbu
卡巴	hhcn
上有	hhde
上唇	hhdf
上古	hhdg
卡在	hhdh
上辈	hhdj
上百	hhdj
上达	hhdp
上奏	hhdw
上肥	hhec
上膛	hhei
上膘	hhes
上腹	hhet
上脸	hhew
上士	hhfg
目露	hhfk
上过	hhfp
上都	hhft
卡规	hhfw
上坟	hhfy
上刑	hhga
上至	hhgc
止于	hhgf
上上下下	hhgg
上一	hhgg
卡带	hhgk
上虞	hhha
上上	hhhh
卡卡	hhhh
上桌	hhhj
睁眼瞎	hhhp
卡具	hhhw
上涌	hhic
点点滴滴	hhii
上演	hhip
上溯	hhiu
上举	hhiw
上流	hhiy
上紧	hhjc
眼睛里	hhjf
瞌睡虫	hhjh
上照	hhjv
卡恩	hhld
上车	hhlg
上架	hhlk
目力	hhlt
上图	hhlt
上轨	hhlv
上界	hhlw
上山	hhmm
上风	hhmq
上账	hhmt
上尉	hhnf
上臂	hhnk
上书	hhnn
睡眼惺忪	hhnn
上屏	hhnu
上心	hhny
上火	hhoo
上灯	hhos
上家	hhpe
上完	hhpf
虚虚实实	hhpp
点睛之笔	hhpt
目视	hhpy
卡钳	hhqa
上色	hhqc
上锁	hhqi
卡尔	hhqi
上饶	hhqn
上钩	hhqq
上看	hhrh
上操	hhrk
止损	hhrk
卡拉	hhru
上抛	hhrv
上树	hhsc
上相	hhsh
上档	hhsi
上可	hhsk
上机	hhsm
上榜	hhsu
上智	hhtd
上船	hhte
上等	hhtf
上街	hhtf
上千	hhtf
上行	hhtf
上香	hhtj
上翻	hhto
上移	hhtq
卡特	hhtr
上签	hhtw
上篇	hhty
上冻	hhua
点点头	hhud
上前	hhue
上闩	hhug
上站	hhuh
上意	hhuj
上将	hhuq
上次	hhuq
上道	hhut
止痒	hhuu
上供	hhwa
上佳	hhwf
氍毹	hhwg
上个	hhwh
上体	hhws
上位	hhwu
上分	hhwv
上人	hhww
上货	hhwx
止住	hhwy
卡纸	hhxq
上弦	hhxy
上计	hhyf
上讲	hhyf
上证	hhyg
上京	hhyi
上调	hhym
步步高升	hhyt
上说	hhyu
上座	hhyw
上方	hhyy
上访	hhyy
督工	hiaa
卡洛斯	hiad
督阵	hibl
步出	hibm
颦蹙	hidh
上海大众	hidw
目光远大	hifd
步进	hifj
上梁不正下梁歪	higg
上漏下湿	higi
上海滩	hiic
步法	hiif
眼泪汪汪	hiii
步测	hiim
督师	hijg
步哨	hiki
步幅	himh
频发	hint
目光炯炯	hioo
频数	hiov
卢浮宫	hipk
频密	hipn
督抚	hirf
督查	hisj
步长	hita
上海交大	hiud
频次	hiuq
目光如鼠	hivv
频段	hiwd
频仍	hiwe
叔侄	hiwg
上海人	hiww
频谱	hiyu
督府	hiyw
旧臣	hjah
旧区	hjaq
皮里阳秋	hjbt
旧观	hjcm
旧友	hjdc
旧有	hjde
卢旺达	hjdp
桌脚	hjef
旧爱	hjep
旧地	hjfb
旧城	hjfd
旧款	hjff
旧雨	hjfg
旧址	hjfh
旧教	hjft
桌球	hjgf
旧事	hjgk
旧恶	hjgo
虚晃一枪	hjgs
桌上	hjhh
旧学	hjip
旧日	hjjj
旧车	hjlg
卓见	hjmq
旧账	hjmt
卓异	hjna
旧情	hjng
旧书	hjnn
旧习	hjnu
眼明心亮	hjny
旧业	hjog
桌灯	hjos
旧家	hjpe
旧宅	hjpt
旧案	hjpv
眼冒金星	hjqj
旧年	hjrh
旧的	hjrq
旧指	hjrx
桌板	hjsr
旧梦	hjss
旧知	hjtd
旧称	hjtq
旧物	hjtr
旧闻	hjub
桌前	hjue
旧病	hjug
旧章	hjuj
旧部	hjuk
旧交	hjuq
卓立	hjuu
旧好	hjvb
旧例	hjwg
旧体	hjws
旧作	hjwt
旧俗	hjww
旧货	hjwx
旧约	hjxq
旧诗	hjyf
旧房	hjyn
旧迹	hjyo
桌底	hjyq
旧话	hjyt
旧文	hjyy
点菜	hkae
战幕	hkaj
点出	hkbm
占了	hkbn
战队	hkbw
点戏	hkca
点验	hkcw
占驻	hkcy
鼎足而三	hkdd
占压	hkdf
虎踞龙蟠	hkdj
战成	hkdn
鼎足而立	hkdu
鼎足三分	hkdw
占用	hket
战地	hkfb
占去	hkfc
占卦	hkff
点起	hkfh
点开	hkga
点到	hkgc
占到	hkgc
战表	hkge
上吐下泻	hkgi
占理	hkgj
战死	hkgq
战平	hkgu
点睛	hkhg
点卡	hkhh
点点	hkhk
战具	hkhw
点此	hkhx
占满	hkia
战法	hkif
点清	hkig
虎口逃生	hkit
卡路里	hkjf
占星	hkjt
战史	hkkq
战罢	hklf
战车	hklg
战力	hkln
占居	hknd
战情	hkng
战局	hknn
点发	hknt
点火	hkoo
点灯	hkos
点定	hkpg
战袍	hkpu
战神	hkpy
点解	hkqe
点钱	hkqg
点钞	hkqi
点儿	hkqt
点拨	hkrn
点票	hksf
点档	hksi
点歌	hksk
点校	hksu
点检	hksw
点算	hkth
此唱彼和	hktt
此呼彼应	hkty
点半	hkuf
战端	hkum
战刀	hkvn
点仓	hkwb
占优	hkwd
战例	hkwg
虎口余生	hkwt
点位	hkwu
占分	hkwv
占线	hkxg
战绩	hkxg
占为	hkyl
战讯	hkyn
战旗	hkyt
歧路亡羊	hkyu
战鹰	hkyw
卤菜	hlae
卤汁	hlif
卤水	hlii
卤鸭	hllq
战略性	hlnt
鼎力相助	hlse
卤化	hlwx
贞观	hmcm
贞烈	hmgq
贞德	hmtf
贞妇	hmvv
餐巾纸	hmxq
占山为王	hmyg
鼎革	hnaf
凹陷	hnbq
卢布	hndm
鼎盛	hndn
鼎助	hneg
颅腔	hnep
颅脑	hney
上情下达	hngd
此情此景	hnhj
鼎鼎	hnhn
睡懒觉	hnip
卢湾	hniy
瞒心昧己	hnjn
鼎足	hnkh
鼎峙	hnmf
肯尼迪	hnmp
兕	hnmq
颅内	hnmw
鼎铛	hnqi
卢梭	hnsc
旧恨新仇	hnuw
鸬鹚	hnux
卢比	hnxx
瞩望	hnyn
眯起	hofh
目迷五色	hogq
彪炳千古	hotd
战火纷飞	hoxn
瞎蒙	hpap
瞎了	hpbn
虎穴龙潭	hpdi
瞎干	hpfg
皮之不存	hpgd
眈眈	hphp
瞎眼	hphv
瞎混	hpij
瞎吹	hpkq
瞎转	hplf
眼空四海	hpli
瞎忙	hpny
瞎火	hpoo
瞎猜	hpqt
瞎摸	hpra
瞎抓	hprr
瞎掰	hprw
瞎搞	hpry
瞎想	hpsh
卡宾枪	hpsw
瞎闯	hpuc
瞎编	hpxy
瞎诌	hpyq
皮尔斯	hqad
餐台	hqck
瞻观	hqcm
瞻顾	hqdb
睁大	hqdd
餐布	hqdm
点铁成金	hqdq
眼馋肚饱	hqeq
睁开	hqga
卓尔不凡	hqgm
餐点	hqhk
紫外光	hqiq
眼镜蛇	hqjp
睁圆	hqlk
皮包骨	hqme
餐饮业	hqog
餐室	hqpg
瞻礼	hqpy
餐后	hqrg
餐椅	hqsd
点钞机	hqsm
战争片	hqth
睁着	hqud
餐会	hqwf
餐位	hqwu
瞻念	hqwy
卡尔维诺	hqxy
紫气东来	hrag
齿白唇红	hrdx
上推下卸	hrgr
睥睨	hrhv
目的性	hrnt
卡拉OK	hrok
虚拟机	hrsm
眼看着	hrud
虚拟主机	hrys
卡西欧	hsaq
盯死	hsgq
盯上	hshh
盯紧	hsjc
卡丁车	hslg
盯视	hspy
盯着	hsud
叔本华	hswx
肯德基	htad
睡卧	htah
瞠乎其后	htar
睡在	htdh
眨动	htfc
睡到	htgc
睡下	htgh
上智下愚	htgj
瞅瞅	htht
睡吧	htkc
战利品	htkk
睡帽	htmh
皮笑肉不笑	htmt
睡袍	htpu
卡特尔	htqi
睡相	htsh
睡得	httj
睡前	htue
睡姿	htuq
虎入羊群	htuv
瞅准	htuw
睡好	htvb
睹物伤情	htwn
睡乡	htxt
睡房	htyn
睡魔	htys
鼎新革故	huad
上善若水	huai
虎头燕颔	huaw
止痛药	huax
虎斗龙争	hudq
点头之交	hupu
眼疾手快	hurn
上半身	hutm
旧瓶装新酒	huui
瞬间即逝	huvr
虞美人	huww
眼药	hvax
眼耳	hvbg
眼孔	hvbn
眼霜	hvfs
上好下甚	hvga
目录下	hvgh
眼皮	hvhc
眼眸	hvhc
眼目	hvhh
眼瞎	hvhp
眼瞅	hvht
眼瞳	hvhu
眼尖	hvid
眼浅	hvig
眼波	hvih
眼晕	hvjp
眼眉	hvnh
眼快	hvnn
眼屎	hvno
眼窝	hvpw
眼馋	hvqn
眼拙	hvrb
眼白	hvrr
眼梢	hvsi
眼生	hvtg
眼病	hvug
眼疾	hvut
眼底	hvyq
上个世纪	hwax
瞧出	hwbm
盼顾	hwdb
瞪大	hwdd
具体而微	hwdt
瞧去	hwfc
睽违	hwfn
盼到	hwgc
盼来	hwgo
瞧瞧	hwhw
瞪圆	hwlk
虚位以待	hwnt
具体情况	hwnu
占便宜	hwpe
占领军	hwpl
瞪视	hwpy
具象	hwqj
齿根	hwsv
些什么	hwtc
卤化物	hwtr
瞪着	hwud
瞧那	hwvf
具结	hwxf
旧体诗	hwyf
瞧这	hwyp
具文	hwyy
紫苏	hxal
雌黄	hxam
雌蕊	hxan
紫薇	hxat
雌花	hxaw
紫阳	hxbj
柴鸡	hxcq
柴胡	hxde
紫砂	hxdi
柴灰	hxdo
些须	hxed
紫貂	hxee
此乃	hxet
此去	hxfc
柴垛	hxfm
柴堆	hxfw
紫斑	hxgy
上纲上线	hxhx
些小	hxih
此路	hxkh
紫黑	hxlf
紫边	hxlp
此岸	hxmd
此帖	hxmh
此则	hxmj
此情	hxng
此书	hxnn
此心	hxny
紫褐	hxpu
此案	hxpv
紫铜	hxqm
紫杉	hxse
紫檀	hxsy
此种	hxtk
此番	hxto
此物	hxtr
此条	hxts
紫癜	hxun
此道	hxut
柴刀	hxvn
雌伏	hxwd
些个	hxwh
此人	hxww
此谓	hxyl
此文	hxyy
眩惑	hyak
上议院	hybp
步调一致	hygg
虚席以待	hynt
眩迷	hyop
上证指数	hyro
步话机	hysm
眩人	hyww
上座率	hyyx
港式	iaaa
鸿基	iaad
浇菜	iaae
江东	iaai
鸿蒙	iaap
港区	iaaq
沏茶	iaaw
活靶子	iabb
江阴	iabe
江陵	iabf
满院	iabp
江防	iaby
流芳百世	iada
光芒万丈	iadd
汇丰	iadh
汇成	iadn
鸿雁	iadw
满盈	iaec
满肚	iaef
港股	iaem
满腹	iaet
鸿运	iafc
满城	iafd
涉世未深	iafi
江堤	iafj
浇过	iafp
汇到	iagc
江青	iage
深藏不露	iagf
学艺不精	iago
湛碧	iagr
满目	iahh
举世瞩目	iahh
满桌	iahj
洪涝	iaia
湛江	iaia
满满	iaia
潇潇	iaia
灌灌	iaia
泄滩	iaic
满清	iaig
洪波	iaih
举世注目	iaih
洪水	iaii
浇水	iaii
江水	iaii
潆洄	iail
江油	iaim
满堂	iaip
江浙	iair
水蒸汽	iair
江海	iait
洪流	iaiy
灌注	iaiy
满洲	iaiy
满是	iajg
满嘴	iakh
满口	iakk
洪恩	iald
江边	ialp
光芒四射	ialt
满世界	ialw
江岸	iamd
沦落风尘	iami
满岁	iamq
汇展	iana
港剧	iand
满心	iany
鸿业	iaog
洪炉	iaoy
涝害	iapd
济世之才	iapf
漠视	iapy
漠然	iaqd
河东狮吼	iaqk
满后	iarg
鸿爪	iarh
灌制	iarm
浇捣	iarq
小东西	iasg
光荣榜	iasu
流芳千古	iatd
满街	iatf
汇算	iath
灌篮	iatj
党工委	iatv
汇入	iaty
灌入	iaty
浦东新区	iaua
满头	iaud
灌装	iauf
汇兑	iauk
江北	iaux
江门	iauy
港姐	iave
港九	iavt
满仓	iawb
浅斟低唱	iawk
汇作	iawt
汇集	iawy
满贯	iaxf
满纸	iaxq
满席	iaya
学英语	iayg
泄底	iayq
洪魔	iays
江郎	iayv
鸿文	iayy
光阴荏苒	ibaa
涵蕴	ibax
池子	ibbb
消防队	ibbw
小阳春	ibdw
渔阳鼙鼓	ibff
涉险过关	ibfu
浮出水面	ibid
学院派	ibir
洱海	ibit
池浴	ibiw
池中	ibkh
渎职罪	ibld
当耳边风	iblm
池边	iblp
池内	ibmw
池壁	ibnk
池鱼	ibqg
小孩儿	ibqt
消防栓	ibsw
涵管	ibtp
渗出物	ibtr
涵意	ibuj
涵闸	ibul
光阴似箭	ibwt
洛阳纸贵	ibxk
削职为民	ibyn
池州	ibyt
滁州	ibyt
治世	ican
涌出	icbm
渗出	icbm
治厂	icdg
渗碳	icdm
游戏厅	icds
流通股	icem
滩地	icfb
涌起	icfh
汉朝	icfj
游戏规则	icfm
涌过	icfp
治教	icft
水能载舟	icft
渗坑	icfy
渗到	icgc
治政	icgh
治吏	icgk
涌来	icgo
治平	icgu
涌上	ichh
汉江	icia
治治	icic
治污	icif
渗滤	icih
泾渭	icil
汉学	icip
浚河	icis
治劣	icit
涌流	iciy
治黑	iclf
海参崴	icmd
汉赋	icmg
治山	icmm
汉民	icna
汉剧	icnd
汉书	icnn
泽被	icpu
治印	icqg
治兵	icrg
涌泉	icri
治所	icrn
治权	icsc
游戏机	icsm
渗析	icsr
治校	icsu
治乱	ictd
治税	ictu
汉魏	ictv
涌入	icty
治好	icvb
汉姓	icvt
游戏人间	icwu
淋巴细胞	icxe
淋巴结	icxf
治绩	icxg
汉译	icyc
温柔敦厚	icyd
汉诗	icyf
治市	icym
潜台词	icyn
汉唐	icyv
洛克菲勒	idaa
常春藤	idae
涯际	idbf
尖厉	iddd
尖石	iddg
湖面	iddm
没有用	idet
尖脸	idew
淡而无味	idfk
尖声	idfn
涛声	idfn
学有专长	idft
淹到	idgc
沉郁顿挫	idgr
